Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C5",0805,3,10u,
"C10, C6, C7, C9",0402,4,4.7u,
"C11, C12, C13, C14, C15, C16, C17, C18, C2, C8",0402,10,100n,
"C3, C4",0402,2,15p,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5,4,MountingHole,
J1,USB3_A_Plug_Wuerth_692112030100_Horizontal,1,USB3_A,
L1,L_pol_2016,1,3.3u,
"R1, R9",0402,2,DNF,
R10,0402,1,0,
"R2, R4, R6",0402,3,1k,
R3,0805,1,330Ω,
R5,0402,1,33,
"R7, R8",0402,2,27,
"SW1, SW2",SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,2,SW_Push,
SW3,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U1,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_60QFN,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
