Designator,Mid X,Mid Y,Rotation,Layer
C1,-14.385,-7.525,270.0,top
C10,0.8,-6.88,270.0,top
C11,7.08,0.6,0.0,top
C12,-2.1,7.4,90.0,top
C13,-6.485,3.4,180.0,top
C14,7.085,-0.4,0.0,top
C15,-5.25,-0.63,90.0,top
C16,5.685,-4.0,0.0,top
C17,6.485,3.0,0.0,top
C18,-1.8,-6.08,270.0,top
C19,9.025,-2.51,0.0,top
C2,-8.775,13.675,180.0,top
C3,-1.4,-9.0,180.0,top
C4,1.58,-9.0,0.0,top
C5,-4.725,-7.34,270.0,top
C6,2.0,4.6,0.0,top
C7,2.0,5.55,0.0,top
C8,-6.48,1.0,180.0,top
C9,4.2,5.05,270.0,top
D1,-0.8,19.72,0.0,top
J1,-0.8,36.36,90.0,top
L1,2.0,7.2,0.0,top
R1,-7.0,17.8,270.0,top
R10,-11.1,17.3,0.0,top
R2,-0.4,-6.9,270.0,top
R3,5.29,13.655,90.0,top
R4,7.61,-6.93,270.0,top
R5,4.2,6.9,270.0,top
R6,-11.1,18.7,0.0,top
R7,-0.095,7.4,270.0,top
R8,-1.1,7.4,270.0,top
R9,-8.7,17.8,270.0,top
SW1,10.825,18.48,0.0,top
SW2,10.825,11.14,180.0,top
SW3,-0.8,13.575,0.0,top
U1,0.0,0.0,0.0,top
U2,-9.555,-5.805,90.0,top
U3,-11.04,9.375,270.0,top
Y1,-11.88,1.695,0.0,top
